epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,734.788,0.55188,3.82319,1.14528,0.49914,0.41402,0.40003,0.38013,0.30846,2.02033,0.94637,8.31864e-05,8.31864e-05,8.31864e-05
2,1467.07,0.49515,2.30102,1.07833,0.79966,0.71265,0.82084,0.77999,0.30742,1.08093,0.94751,0.000162856,0.000162856,0.000162856
3,2220.86,0.46194,1.53688,1.05123,0.85889,0.83469,0.90591,0.87219,0.26968,0.70781,0.91445,0.000238859,0.000238859,0.000238859
4,2935.27,0.44304,1.23943,1.03386,0.87467,0.84657,0.92304,0.88555,0.28792,0.64506,0.92389,0.0002335,0.0002335,0.0002335
5,3645.94,0.43515,1.05045,1.02914,0.90337,0.90436,0.95653,0.92501,0.26366,0.49555,0.90618,0.000228,0.000228,0.000228
6,4355.34,0.41989,0.93475,1.01966,0.91226,0.90922,0.96289,0.93519,0.24864,0.45983,0.89062,0.0002225,0.0002225,0.0002225
7,5062.73,0.4166,0.85418,1.01702,0.9305,0.92419,0.97179,0.93933,0.26105,0.42443,0.90683,0.000217,0.000217,0.000217
8,5769.1,0.40012,0.79011,1.00671,0.94327,0.9259,0.97541,0.95119,0.2309,0.38526,0.87517,0.0002115,0.0002115,0.0002115
9,6480.39,0.40037,0.73669,1.00817,0.93944,0.93549,0.97611,0.95057,0.24243,0.36468,0.87579,0.000206,0.000206,0.000206
10,7191.14,0.39105,0.68468,1.0029,0.95658,0.94717,0.98201,0.96062,0.22725,0.32132,0.86599,0.0002005,0.0002005,0.0002005
11,7900.1,0.38942,0.65756,1.00251,0.95882,0.9559,0.98408,0.96191,0.22172,0.30937,0.86522,0.000195,0.000195,0.000195
12,8610.53,0.38152,0.61974,1.00002,0.95724,0.9538,0.98404,0.96342,0.21792,0.31014,0.86082,0.0001895,0.0001895,0.0001895
13,9322.16,0.38048,0.59181,0.99546,0.96992,0.96183,0.98562,0.96576,0.21648,0.27377,0.86344,0.000184,0.000184,0.000184
14,10038.4,0.37743,0.57228,0.99597,0.96802,0.96658,0.98783,0.9672,0.20698,0.261,0.85434,0.0001785,0.0001785,0.0001785
15,10753.4,0.37642,0.55277,0.9954,0.97269,0.96146,0.98739,0.96727,0.2082,0.25917,0.85374,0.000173,0.000173,0.000173
16,11467.1,0.37409,0.54354,0.99396,0.96967,0.96633,0.98772,0.9677,0.21116,0.26299,0.85863,0.0001675,0.0001675,0.0001675
17,12177.4,0.36782,0.50887,0.98929,0.97505,0.96545,0.98829,0.97052,0.20194,0.23897,0.85535,0.000162,0.000162,0.000162
18,12889,0.3666,0.5006,0.99144,0.97347,0.96671,0.9887,0.97083,0.19881,0.23862,0.85325,0.0001565,0.0001565,0.0001565
19,13600.7,0.36304,0.48746,0.98728,0.97455,0.96308,0.98854,0.97081,0.19528,0.23763,0.84428,0.000151,0.000151,0.000151
20,14311.4,0.35771,0.47748,0.98399,0.97488,0.96788,0.98914,0.97276,0.19313,0.23079,0.84622,0.0001455,0.0001455,0.0001455
21,15021.9,0.35821,0.46368,0.9849,0.976,0.97031,0.98989,0.97465,0.18785,0.21504,0.83909,0.00014,0.00014,0.00014
22,15733.3,0.3529,0.45332,0.98689,0.97614,0.96972,0.98981,0.97393,0.19067,0.22021,0.84294,0.0001345,0.0001345,0.0001345
23,16444.1,0.35333,0.44223,0.98171,0.9788,0.97211,0.99036,0.97482,0.18738,0.21541,0.84057,0.000129,0.000129,0.000129
24,17156.3,0.34582,0.42878,0.9777,0.9734,0.97721,0.99074,0.97611,0.18264,0.21348,0.838,0.0001235,0.0001235,0.0001235
25,17865.8,0.34581,0.42149,0.97661,0.97782,0.97498,0.99108,0.97774,0.17785,0.20319,0.83208,0.000118,0.000118,0.000118
26,18578.6,0.34051,0.41289,0.97438,0.9828,0.97262,0.99161,0.97785,0.18235,0.20351,0.83447,0.0001125,0.0001125,0.0001125
27,19288.5,0.34553,0.40883,0.97737,0.98017,0.97461,0.99122,0.97781,0.17494,0.20086,0.83155,0.000107,0.000107,0.000107
28,19998.6,0.33742,0.39926,0.97602,0.98048,0.97765,0.99199,0.97888,0.17132,0.19747,0.82931,0.0001015,0.0001015,0.0001015
29,20719.3,0.33219,0.38814,0.97011,0.97722,0.98135,0.99186,0.98007,0.17046,0.19265,0.82499,9.6e-05,9.6e-05,9.6e-05
30,21431.5,0.33497,0.38143,0.97305,0.98351,0.97759,0.99214,0.98085,0.17073,0.19313,0.82517,9.05e-05,9.05e-05,9.05e-05
31,22140.9,0.32994,0.37234,0.97122,0.98333,0.97881,0.99214,0.9808,0.16657,0.1838,0.82101,8.5e-05,8.5e-05,8.5e-05
32,22850.7,0.32447,0.36378,0.9665,0.98139,0.97904,0.9926,0.98057,0.16398,0.17755,0.81956,7.95e-05,7.95e-05,7.95e-05
33,23561.6,0.32279,0.35136,0.9652,0.98523,0.97764,0.99242,0.98186,0.15919,0.17574,0.81653,7.4e-05,7.4e-05,7.4e-05
34,24271.4,0.32637,0.35771,0.96924,0.98297,0.98116,0.9927,0.98203,0.15979,0.17403,0.81628,6.85e-05,6.85e-05,6.85e-05
35,24980.8,0.32341,0.35492,0.96629,0.98593,0.98248,0.99301,0.98357,0.15609,0.1663,0.81496,6.3e-05,6.3e-05,6.3e-05
36,25740,0.16492,0.22205,0.86945,0.98639,0.98096,0.99314,0.98434,0.15389,0.17073,0.81026,5.75e-05,5.75e-05,5.75e-05
37,26448.4,0.15806,0.20319,0.86362,0.98611,0.98353,0.99345,0.98438,0.15058,0.16305,0.80937,5.2e-05,5.2e-05,5.2e-05
38,27156.9,0.15517,0.19232,0.86512,0.98838,0.98301,0.99355,0.98527,0.14626,0.16255,0.80557,4.65e-05,4.65e-05,4.65e-05
39,27866.7,0.15117,0.18682,0.86201,0.98632,0.98657,0.99365,0.98618,0.14447,0.16017,0.80388,4.1e-05,4.1e-05,4.1e-05
40,28585.4,0.14876,0.18168,0.85991,0.98865,0.98786,0.99382,0.98629,0.14146,0.15311,0.80047,3.55e-05,3.55e-05,3.55e-05
41,29289.8,0.14582,0.17473,0.85597,0.9885,0.98871,0.99384,0.98681,0.13987,0.14827,0.80013,3e-05,3e-05,3e-05
42,29994.4,0.14089,0.17039,0.8549,0.98915,0.98908,0.99396,0.98709,0.13786,0.14386,0.79764,2.45e-05,2.45e-05,2.45e-05
43,30704.8,0.14201,0.16858,0.8589,0.98941,0.98942,0.99405,0.98741,0.13622,0.13964,0.79642,1.9e-05,1.9e-05,1.9e-05
44,31411.6,0.13802,0.16031,0.8552,0.98914,0.99079,0.99408,0.98766,0.1339,0.13855,0.79445,1.35e-05,1.35e-05,1.35e-05
45,32120.9,0.13475,0.15321,0.85304,0.9892,0.99079,0.99412,0.98783,0.13309,0.13637,0.79386,8e-06,8e-06,8e-06
